,index,A_start,beta_start,rho_start,A_hat,beta_hat,rho_hat,nloglik,code,set
4,1,9.57056216564074e-07,0.002414062,0.000325544,6.28081961048043e-08,0.005877857,0.01766762,164.0274615,0,combination 3
8,2,1.19585741671512e-05,0.001682663,0.000519319,4.72977077526382e-08,0.005659806,0.025013649,163.7776436,0,combination 3
7,3,9.60672292463426e-05,0.002048284,0.000359899,8.2299401264617e-09,0.005440572,0.034882283,155.339343,0,combination 3
2,4,8.87442670389455e-06,0.002157754,0.000321649,9.53926573844847e-08,0.006216213,0.010185998,173.6396406,0,combination 3
5,5,7.70135118937962e-05,0.002509207,0.000315063,7.1875077398144e-08,0.006375682,0.014043905,202.1984758,0,combination 3
3,6,4.81913394210306e-05,0.002073057,0.000368312,1.29178331354038e-11,0.002549067,0.22331743,209.8491791,10,combination 3
21,7,0.000169198,0.002248495,0.000352966,4.98564640605875e-08,0.005792894,0.02381324,172.077439,0,combination 3
31,8,8.59024353134557e-05,0.002074788,0.000354619,7.07577117811407e-09,0.005133606,0.043189523,162.983811,0,combination 3
41,9,4.41360315098172e-05,0.001942737,0.000345743,7.52967307934033e-08,0.005704434,0.018423472,148.6598593,0,combination 3
1,10,2.41124051690179e-05,0.001563648,0.000598847,1.07966268465794e-08,0.005911193,0.027385812,188.8331562,0,combination 3
22,11,9.81528049978671e-05,0.001742786,0.000455511,5.53356771691553e-08,0.005773287,0.021639223,159.2791409,0,combination 3
32,12,5.61465634298289e-06,0.002292507,0.000318854,9.16884217802539e-08,0.006003148,0.012577364,169.0762567,0,combination 3
6,13,8.68818739663987e-05,0.0019771,0.000395357,9.32020926356933e-08,0.005812003,0.01867794,167.0192825,0,combination 3
33,14,0.000132415,0.001837194,0.000415799,6.73924577462419e-08,0.005701489,0.020533697,157.2159106,0,combination 3
23,15,1.47798020038964e-05,0.002328801,0.000339131,5.76652016570633e-08,0.00558338,0.02874361,159.0017489,0,combination 3
11,16,5.9346117806938e-05,0.002653715,0.000310979,1.18964445264719e-08,0.005504166,0.037998547,179.1762995,0,combination 3
12,17,7.47705345093051e-06,0.00190369,0.000394511,2.58638555812228e-16,0.00338758,0.148387606,221.3903912,0,combination 3
51,18,0.000106315,0.002230868,0.000331248,1.27542819932117e-15,0.002871696,0.206450239,208.1709389,0,combination 3
10,19,2.33090464806295e-05,0.001705045,0.000453344,5.58361670676992e-08,0.005644661,0.02265145,151.3973155,0,combination 3
61,20,0.000119544,0.002225024,0.000409249,7.52564653130837e-08,0.006166804,0.015737466,166.706593,0,combination 3
71,21,0.000121395,0.002283708,0.000315497,8.36502444586794e-16,0.002615071,0.215260018,215.7610643,0,combination 3
9,22,8.04690435365885e-05,0.001904024,0.000474483,4.54871702216465e-08,0.005616679,0.025635068,150.2720999,0,combination 3
52,23,1.31899015846274e-05,0.002700646,0.000304207,2.56379192885096e-08,0.005755036,0.022526883,171.5566348,0,combination 3
53,24,5.47743716966937e-05,0.001646121,0.000511424,2.8484663683508e-08,0.005995536,0.01968631,170.0686585,0,combination 3
81,25,2.43505542087413e-05,0.002241994,0.000409207,1.05695674004254e-07,0.006424371,0.006785856,187.7001708,0,combination 3
101,26,5.65578317711706e-05,0.001635697,0.000498139,3.92534763620927e-08,0.005165593,0.034505971,157.8185077,0,combination 3
62,27,8.58343395520545e-05,0.002275022,0.000300642,4.00153674915257e-08,0.006054466,0.019725176,188.7730408,0,combination 3
102,28,5.18381063024026e-05,0.002001245,0.000333576,7.48369168409999e-08,0.005986877,0.016346785,176.350032,0,combination 3
91,29,1.62804557454684e-05,0.002448978,0.000324028,4.80555739086742e-08,0.005966593,0.020821222,154.3158544,0,combination 3
34,30,0.000147454,0.001686367,0.000385602,2.27488308666565e-08,0.005545147,0.025701386,169.7485152,0,combination 3
35,31,8.80168783459923e-05,0.001388471,0.000482472,5.73229964302961e-08,0.005371631,0.025287568,151.6198067,0,combination 3
92,32,7.445301452991e-05,0.001519309,0.000458899,1.04196687518122e-07,0.005766137,0.016772844,156.7360268,0,combination 3
36,33,4.73730411032791e-05,0.002073668,0.000361226,1.53485107719475e-08,0.005744975,0.022974828,197.0522126,0,combination 3
54,34,3.5244041626519e-07,0.002164962,0.000357223,5.3131848109043e-08,0.005675729,0.024899983,155.3225539,0,combination 3
82,35,0.000146074,0.001975799,0.000377117,1.88343356148493e-08,0.005533634,0.033315619,172.0819267,0,combination 3
63,36,6.49153794249564e-06,0.002419833,0.000317117,1.19473249709601e-15,0.002615014,0.221279804,219.6363105,0,combination 3
24,37,4.37132909164842e-05,0.001909987,0.000322896,5.99233067369689e-11,0.004992551,0.038565084,150.038956,0,combination 3
64,38,1.9120519228763e-05,0.0022285,0.000319267,1.97442960919995e-15,0.002949835,0.195925827,219.8388475,10,combination 3
42,39,1.55500029694666e-05,0.002187003,0.000350306,1.50583445547751e-14,0.002641131,0.184296012,214.7682648,0,combination 3
43,40,0.000163286,0.001715756,0.00042089,2.4958074573451e-08,0.005594504,0.029268574,167.6300409,0,combination 3
44,41,9.84086732102336e-05,0.002061726,0.000450899,1.14501034997969e-17,0.003236702,0.209524572,319.0304852,0,combination 3
93,42,5.22773467613495e-05,0.002247765,0.000392302,8.3497223583688e-08,0.005756422,0.021160344,154.34127,0,combination 3
