,index,A_start,beta_start,rho_start,A_hat,beta_hat,rho_hat,nloglik,code,set
6,1,3.37000669088991e-05,0.001555636,0.000322354,4.47433728840406e-08,0.002268159,0.027774951,169.2607672,0,combination 2
7,2,6.89617681728454e-05,0.001755538,0.000302919,1.73891948833124e-08,0.001958174,0.129833604,163.3190879,0,combination 2
61,3,1.8715145514544e-05,0.001784287,0.000389628,1.60737084612601e-08,0.001973961,0.131899765,143.861238,0,combination 2
62,4,8.8188450283831e-05,0.001389454,0.000403171,5.47199995614256e-08,0.002404489,0.011554304,180.0614517,0,combination 2
1,5,1.97900077620166e-05,0.00198688,0.000309984,1.09172624337195e-08,0.002217556,0.118222142,212.2862437,0,combination 2
5,6,3.69818277589622e-05,0.001519877,0.00032323,9.79660423331968e-09,0.001725529,0.192518703,154.5591216,0,combination 2
71,7,0.000107995,0.001472679,0.00044799,1.94656486299226e-08,0.002095108,0.105509427,175.9084258,0,combination 2
10,8,1.47231287573109e-05,0.001856918,0.000388126,1.34031824999229e-08,0.001864436,0.158856265,157.2996454,0,combination 2
72,9,4.01836947563082e-05,0.001511737,0.000310219,4.16569687764566e-08,0.002072491,0.053724146,149.8269698,0,combination 2
9,10,5.16817536667599e-05,0.001545201,0.000379869,1.37433063735304e-08,0.002189536,0.121718644,190.6666239,0,combination 2
11,11,3.77324111581991e-05,0.001482651,0.000415922,3.65880777322892e-08,0.002203417,0.051898166,162.5915526,0,combination 2
63,12,7.39633936017098e-05,0.001643902,0.00040971,5.0890577793352e-08,0.002277875,0.018808879,175.297235,0,combination 2
73,13,8.70838371111523e-05,0.001492539,0.000423976,1.71824690834801e-08,0.001938054,0.130242924,166.1542834,0,combination 2
2,14,1.31889092865677e-05,0.001433064,0.000477606,3.07705970810889e-08,0.002031141,0.082943107,158.3132598,0,combination 2
8,15,6.46502974088082e-05,0.001340669,0.000594802,9.66528591178486e-09,0.0018656,0.179311916,145.8902892,0,combination 2
81,16,5.82449879330627e-05,0.001695386,0.000447344,8.62941418422877e-15,0.001812524,0.244275322,172.4232644,0,combination 2
91,17,2.01679250324089e-05,0.001556657,0.0003836,8.76857039962347e-15,0.001632322,0.289070262,171.4551478,0,combination 2
21,18,3.06097877088613e-05,0.001659018,0.000345363,1.00474179438203e-08,0.001851047,0.179228817,148.7514042,0,combination 2
4,19,3.88739500145406e-05,0.00153599,0.000445812,2.23409460191507e-08,0.001927323,0.11698923,145.6234701,0,combination 2
41,20,3.66822953830085e-05,0.001704423,0.000517526,3.8219143065709e-08,0.002447101,0.026532167,174.6117623,0,combination 2
101,21,2.41371125591697e-05,0.001279466,0.000471284,5.84119419430173e-09,0.001678377,0.219753372,160.5968932,0,combination 2
22,22,9.08598707716324e-05,0.001193864,0.000505984,2.98294914200056e-08,0.002065372,0.083251923,149.1033994,0,combination 2
51,23,0.000132069,0.001832971,0.000332216,5.13612507684577e-08,0.002349847,0.000172457,169.2005968,0,combination 2
23,24,9.75147834002351e-05,0.001703557,0.000331309,5.34638753403649e-08,0.002482306,1.23687652189113e-07,169.6839971,0,combination 2
52,25,3.67121616143578e-05,0.001507159,0.000515936,5.38843265392816e-08,0.002499099,2.21871818814263e-08,198.1945355,0,combination 2
74,26,2.29860986422492e-05,0.001774573,0.000334865,1.0858432788359e-08,0.001634475,0.206307237,150.8076276,0,combination 2
102,27,1.80375248492307e-05,0.001787411,0.000372088,2.45682815769932e-08,0.002249064,0.082585458,195.239258,0,combination 2
64,28,9.47097602342898e-05,0.001655142,0.000314551,3.01731021804209e-08,0.002176467,0.069931424,182.622515,0,combination 2
12,29,2.49571959047157e-05,0.001482072,0.000543291,1.92411893485643e-08,0.002152847,0.100899221,144.0828694,0,combination 2
3,30,5.39213916893295e-07,0.001328474,0.00051252,3.98540456421678e-08,0.002110494,0.060865486,168.9206484,0,combination 2
31,31,6.23653470800103e-05,0.001118758,0.000513936,2.1948358195179e-08,0.001747569,0.138538547,148.1321327,0,combination 2
65,32,4.88386415001249e-05,0.001143231,0.000512428,2.28239971343404e-08,0.00186964,0.124520617,151.9381357,0,combination 2
32,33,5.34576015955347e-05,0.001512593,0.000367254,4.73643515244283e-08,0.002286792,0.032495993,197.5890186,0,combination 2
75,34,7.36073329433843e-05,0.00152756,0.000319731,1.78743254306641e-08,0.00196193,0.131208606,151.2919114,0,combination 2
33,35,5.52131276480964e-05,0.001795363,0.000355863,1.20991912480448e-08,0.001990782,0.144982154,171.4670937,0,combination 2
42,36,2.76801041887951e-05,0.001498534,0.000301864,1.25220924975535e-08,0.001789382,0.166529844,142.9332264,0,combination 2
34,37,1.65997739349403e-05,0.00123632,0.000436408,1.5292519767047e-08,0.001708759,0.148984476,132.6260491,0,combination 2
43,38,7.7303476077286e-05,0.001563263,0.000364802,8.78709876873776e-09,0.001834836,0.179776872,145.6103487,0,combination 2
44,39,9.64706225221156e-05,0.001379938,0.000337896,4.59145159577864e-08,0.002058332,0.04409655,160.6774648,0,combination 2
13,40,4.77249460284177e-05,0.001427857,0.000400752,2.62222658358018e-08,0.002136471,0.082658963,168.9837007,0,combination 2
92,41,1.12763530198662e-06,0.001837788,0.00044585,2.502761567076e-08,0.002681664,0.041969169,235.2779927,0,combination 2
45,42,2.94755788307848e-05,0.001761972,0.000410581,1.49881326023564e-08,0.001899921,0.150433116,141.2562479,0,combination 2
53,43,7.83691401652304e-05,0.001762659,0.0003226,2.17024945883316e-09,0.001833595,0.214792397,177.9559858,0,combination 2
66,44,3.54096571673816e-06,0.001882113,0.000302856,1.74064388381817e-09,0.001783056,0.224067009,163.454525,0,combination 2
14,45,1.69833971963541e-05,0.001917138,0.000318166,5.48630737631241e-08,0.002381677,0.007723683,179.3020106,0,combination 2
15,46,7.61707620213984e-05,0.001651013,0.00033904,2.71460872674358e-08,0.002211756,0.071790565,190.0195927,0,combination 2
93,47,3.71412964322549e-05,0.001864614,0.000386505,1.98437413983501e-13,0.001909086,0.22044205,200.6963948,0,combination 2
76,48,1.60786331300768e-05,0.001594396,0.000391284,3.62410454632025e-08,0.002177705,0.054966748,172.0871476,0,combination 2
77,49,1.59523692999013e-05,0.001489537,0.000462069,2.94507554384507e-08,0.002070546,0.079455391,169.7537755,0,combination 2
82,50,6.56841217564131e-05,0.001794907,0.000395412,3.30829428546195e-08,0.002230602,0.06256659,172.3965551,0,combination 2
24,51,5.50467821829431e-05,0.001650134,0.000330529,5.82771775478877e-09,0.001904012,0.184856188,153.2702915,0,combination 2
35,52,7.37092301577241e-06,0.001615768,0.000339028,3.34182995812524e-08,0.002342757,0.046978573,178.4684225,0,combination 2
25,53,4.38476630413916e-05,0.001526259,0.000552022,4.72184402274283e-08,0.002562199,0.015589454,200.1598742,0,combination 2
103,54,1.10298937773875e-05,0.001590987,0.000533958,3.99650058946921e-08,0.002417054,0.038965356,187.3748527,0,combination 2
26,55,7.22522177288519e-05,0.001570192,0.000361528,3.30477093935173e-08,0.002175377,0.063504431,163.1041018,0,combination 2
94,56,4.43304416701042e-06,0.001615432,0.000443437,5.74406587014832e-08,0.002370407,6.89323365141695e-09,175.2467189,0,combination 2
27,57,0.000123768,0.001637487,0.000323129,2.26548926870643e-08,0.001975083,0.111782746,177.1033627,0,combination 2
16,58,0.000100427,0.001768848,0.000436575,7.4150314445172e-09,0.001988103,0.180899495,147.635453,10,combination 2
54,59,3.35612008933654e-05,0.001638836,0.000398735,4.21973126490041e-08,0.002214919,0.046448287,171.8989155,0,combination 2
78,60,7.78001043482927e-05,0.001619659,0.000330155,4.53393156942944e-08,0.002339766,0.021603442,168.1901447,0,combination 2
28,61,1.39388645999377e-05,0.001339427,0.000384716,9.18247547053296e-09,0.001626517,0.215788481,158.2156695,0,combination 2
83,62,2.61022646258031e-05,0.001281322,0.000495472,2.65291455211153e-08,0.001890278,0.108005399,147.6901326,0,combination 2
84,63,5.14806916284286e-05,0.001463904,0.000437927,4.08731429372449e-08,0.002225145,0.044399484,178.5543011,0,combination 2
104,64,2.93386295027044e-05,0.001805839,0.000401532,1.13115314100749e-08,0.001830149,0.172235164,144.2050614,0,combination 2
29,65,0.000127858,0.001278947,0.000387057,1.27938115277988e-08,0.001673764,0.193301379,151.8741581,0,combination 2
85,66,0.000140675,0.001177638,0.000514948,2.32831539438318e-08,0.001993648,0.108351697,154.5410518,0,combination 2
67,67,5.30173183920904e-05,0.001443689,0.000357955,2.92350414862148e-08,0.002050507,0.087198252,159.3852234,0,combination 2
36,68,1.81730407337836e-06,0.00168954,0.000346552,2.66336669747078e-14,0.001746482,0.266364986,176.9602097,0,combination 2
68,69,3.22535995708424e-05,0.00201425,0.000354904,4.70369977476868e-08,0.002425847,0.010985153,176.4051311,0,combination 2
46,70,0.000165658,0.001216346,0.000544044,3.79096436573509e-08,0.002290872,0.035537469,167.2990442,0,combination 2
105,71,0.000109843,0.00138715,0.000455355,5.33634698853909e-08,0.002346643,0.006193825,180.8733093,0,combination 2
47,72,2.46142357982041e-05,0.001810809,0.000356824,1.8325855751043e-08,0.002016054,0.121778099,144.8272855,0,combination 2
95,73,4.83521948170028e-05,0.001513839,0.00037319,6.15665567063736e-09,0.001795909,0.199602215,150.3314946,0,combination 2
69,74,4.94740900522575e-05,0.002013009,0.000320665,3.73240459907545e-08,0.002196431,0.049343983,165.9300259,0,combination 2
37,75,7.13200286621605e-06,0.001963345,0.000323086,1.73037014316203e-08,0.001868038,0.142828368,151.4767495,0,combination 2
106,76,5.0725953881896e-05,0.002046506,0.000318195,1.8535341346122e-08,0.002117654,0.109263443,161.1015227,0,combination 2
107,77,0.000112092,0.001562185,0.000384697,2.68580633028368e-08,0.002086911,0.092767318,159.3876119,0,combination 2
48,78,1.78448565992072e-05,0.001348935,0.00052025,2.47846497776926e-08,0.001893093,0.123109275,145.4794737,0,combination 2
38,79,0.000103359,0.0011921,0.000405201,2.59675347704323e-08,0.00180242,0.116027813,141.0550411,0,combination 2
17,80,7.70127873499057e-05,0.00174136,0.000347734,3.55875574774711e-08,0.002079801,0.06386994,160.1079879,0,combination 2
86,81,1.13382302877005e-06,0.001525119,0.000541983,9.83334921382548e-09,0.001925289,0.168543118,148.5595972,0,combination 2
49,82,7.28194436942272e-06,0.001489077,0.000358447,3.48300337164994e-08,0.001951023,0.074875178,158.3204995,0,combination 2
18,83,3.17892938846501e-05,0.001758023,0.000426046,1.38019219440395e-08,0.001780395,0.169113853,161.6801275,0,combination 2
410,84,0.000105798,0.001477369,0.000368573,2.02718167319377e-08,0.001932378,0.123133612,144.263403,0,combination 2
108,85,8.22916070840732e-05,0.001542283,0.000340617,5.01326347895055e-08,0.00212036,0.036431391,177.4138733,0,combination 2
39,86,8.65011599676761e-05,0.001159587,0.000533452,2.06375885782447e-08,0.001798977,0.137680896,151.0259989,0,combination 2
210,87,4.62910617504213e-05,0.001457388,0.000506478,1.5677755918514e-08,0.001835536,0.151879252,151.5942999,0,combination 2
96,88,1.84531910226259e-05,0.001571872,0.000522636,3.35502350266667e-08,0.002492851,0.04589599,217.8815712,0,combination 2
109,89,9.61353250077438e-05,0.001549065,0.000469484,4.1631184317051e-08,0.002288539,0.030575622,175.4413489,0,combination 2
610,90,2.01498093399929e-06,0.001356404,0.00044212,1.3487512464178e-08,0.001772481,0.164160701,142.2637519,0,combination 2
611,91,0.000153968,0.001949127,0.000338362,4.05489217379562e-08,0.002619115,3.1857949748443e-07,190.1553728,0,combination 2
19,92,5.64308095813607e-05,0.001116928,0.000595434,1.93436053996374e-08,0.001869807,0.135084414,147.205897,0,combination 2
79,93,6.06965262579643e-05,0.002035725,0.000393258,4.88611571395915e-08,0.002550268,0.000637209,190.7102175,0,combination 2
55,94,5.29558967643728e-07,0.002003039,0.000391834,4.71622565489687e-08,0.002356349,0.017540798,160.5514916,0,combination 2
710,95,5.66859688940901e-06,0.001276768,0.000422827,3.13184525974084e-08,0.001909462,0.093495886,150.9896687,0,combination 2
612,96,0.000110915,0.001447447,0.000391542,4.40353017470856e-08,0.002224612,0.032738218,168.1714536,0,combination 2
