,index,A_start,beta_start,rho_start,A_hat,beta_hat,rho_hat,nloglik,code,set
52,58,0.000142706,0.002172069,0.000380651,4.72780934366192e-08,0.004351956,0.097774108,136.9819598,0,combination 1
44,59,4.89954015877641e-05,0.001625438,0.000467458,1.67729114014698e-07,0.005362829,0.031649989,148.3073712,0,combination 1
78,60,8.03178350516972e-05,0.002030074,0.000388588,1.52447177457652e-07,0.005515063,0.030096124,147.6343484,0,combination 1
88,61,2.97929979173045e-06,0.001354956,0.000597726,7.07852240330772e-08,0.00388636,0.091466893,143.125553,0,combination 1
79,62,0.000109534,0.001825816,0.000370406,9.93718523259735e-08,0.004519944,0.059307048,137.2757391,0,combination 1
910,63,0.000107479,0.002073385,0.000349991,1.61177746703496e-07,0.005362235,0.032167997,152.3867683,0,combination 1
911,64,9.00563072485328e-05,0.002002519,0.000357319,5.4590134470921e-08,0.004140646,0.090736003,135.0086503,0,combination 1
912,65,8.01133002473352e-05,0.002097228,0.000305513,6.60316134415223e-08,0.003819864,0.096161267,139.9879726,0,combination 1
89,66,5.77956107891043e-05,0.001810254,0.000404558,1.03789855092571e-07,0.004798135,0.054568817,139.1332765,0,combination 1
810,67,1.3327539977785e-05,0.001941623,0.000385079,1.2384829224363e-07,0.004992428,0.045119344,141.5533972,0,combination 1
53,68,7.29849938127689e-05,0.002383799,0.000301451,8.49060473633247e-08,0.00466071,0.071360464,150.4598287,0,combination 1
45,69,8.81528018374473e-05,0.002180952,0.000412716,1.58598567807083e-07,0.005667058,0.027083388,151.8150831,0,combination 1
35,70,2.03429328715739e-05,0.002283228,0.000352024,1.28539547242308e-07,0.005282782,0.03957967,147.7961603,0,combination 1
54,71,8.85163379926079e-05,0.001438709,0.000492138,1.7766344847399e-07,0.005579278,0.024519471,156.7312042,0,combination 1
913,72,4.92234896121325e-05,0.001913498,0.000427133,7.79065037963249e-08,0.004790539,0.06161219,133.6702666,0,combination 1
65,73,8.53602685996775e-05,0.001688511,0.000481398,5.75814910164906e-08,0.004222244,0.087952272,137.9866878,0,combination 1
16,74,2.50704392875855e-05,0.001802672,0.000413472,1.35905530191769e-07,0.005198235,0.038760509,146.0263566,0,combination 1
17,75,0.000135169,0.002074826,0.000336402,9.10701604711136e-08,0.004555011,0.063301904,137.9248774,0,combination 1
