,A_true,beta_true,gamma_true,omega_true,rho_true,A_start,beta_start,rho_start,index,A_hat,beta_hat,rho_hat,nloglik,code,mean_R0_true,mean_R0_hat,set
10,1.89545646659773e-07,0.002522116,0.005479452,0.000547945,0.257575557,6.2009199387721e-05,0.002206923,0.000382663,1,8.41731472269713e-08,0.001180283,0.722272839,124.767471,0,1.382996932,1.434915009,combination 1
4,1.65458312073658e-07,0.001762461,0.005479452,0.000547945,0.408111558,0.000114359,0.002322541,0.000329002,2,7.96178500626624e-08,0.00086235,0.990654467,124.7442983,0,1.389009753,1.425903899,combination 1
3,5.72680164319319e-08,0.002623953,0.005479452,0.000547945,0.299885095,0.000153911,0.002034838,0.000376498,3,2.98160797007702e-08,0.00159814,0.571602291,146.4467926,0,1.473743319,1.469825247,combination 1
7,8.34281408691688e-08,0.002855072,0.005479452,0.000547945,0.274828088,0.000119962,0.002115083,0.000313874,4,1.81083128737875e-07,0.003877711,0.147816078,139.0300471,0,1.52592663,1.445664963,combination 1
5,3.2757659860169e-07,0.002796805,0.005479452,0.000547945,0.20131741,4.80417649017991e-05,0.001877202,0.000416547,5,3.1317766981005e-07,0.002728036,0.211735807,133.178826,1,1.385979785,1.391237308,combination 1
31,8.29216326382985e-08,0.001973313,0.005479452,0.000547945,0.355475762,2.17800900700979e-05,0.002177021,0.000381015,6,6.6310664667906e-08,0.001484808,0.512137474,119.6558895,0,1.295543427,1.300968056,combination 1
101,1.86506944646757e-07,0.003147594,0.005479452,0.000547945,0.226045497,0.000106383,0.001943794,0.000410553,7,2.67798968760807e-07,0.004535245,0.111698707,145.0874233,0,1.544855259,1.490814635,combination 1
51,1.59596784005266e-07,0.002231987,0.005479452,0.000547945,0.286137755,8.22414841133946e-05,0.00193178,0.000381595,8,1.28471966894771e-07,0.002008504,0.338571708,122.0252655,0,1.309318915,1.315283331,combination 1
6,9.87900167982051e-08,0.001163113,0.005479452,0.000547945,0.688925617,2.09114500880452e-05,0.001997393,0.00040706,9,7.94893345017993e-08,0.000837371,0.999998743,117.3797461,0,1.385775583,1.401530117,combination 1
52,1.94122682380334e-07,0.002801927,0.005479452,0.000547945,0.234383151,8.90139970894482e-05,0.00237834,0.000341046,10,3.02391722299654e-07,0.004239025,0.107165895,135.293636,0,1.429631803,1.391364796,combination 1
32,9.55240967336028e-08,0.001649104,0.005479452,0.000547945,0.472026875,9.44344050065359e-05,0.002028721,0.000378133,11,5.08399060511272e-08,0.000879758,0.999999972,129.1154918,0,1.381243107,1.39323143,combination 1
8,1.76993709480375e-07,0.002847644,0.005479452,0.000547945,0.218963442,4.61749282301581e-05,0.001691844,0.000477064,12,1.72326774493415e-07,0.002553825,0.260225021,127.7181253,0,1.375064491,1.394215922,combination 1
41,3.78634460379164e-08,0.002330331,0.005479452,0.000547945,0.282789113,7.54689509033303e-05,0.001448461,0.000581789,13,3.68721044601356e-08,0.001665156,0.451294225,112.6952617,0,1.244399497,1.272512501,combination 1
2,4.15848268488957e-08,0.002170258,0.005479452,0.000547945,0.32358252,0.000119205,0.002236968,0.000315519,14,1.7323072362247e-08,0.001029799,0.835426789,120.5969377,0,1.28208042,1.304087256,combination 1
81,1.97124763571849e-08,0.002792142,0.005479452,0.000547945,0.276664515,0.000147528,0.00206512,0.000342343,15,6.63995191926308e-08,0.004264419,0.125776492,125.7668957,0,1.446540149,1.389826655,combination 1
71,1.4596482074272e-07,0.002092651,0.005479452,0.000547945,0.30389886,2.73034544544439e-05,0.00175058,0.000522438,16,7.76323935956622e-08,0.001389021,0.538280106,107.3005893,0,1.277884803,1.289490891,combination 1
72,1.17023179525116e-07,0.002357062,0.005479452,0.000547945,0.25938644,8.64474530416053e-07,0.001414581,0.000556716,17,1.82301423932987e-07,0.00305552,0.162924775,106.0183125,0,1.24976006,1.227200177,combination 1
21,7.92410804190125e-08,0.002075904,0.005479452,0.000547945,0.314378993,3.64129841488099e-06,0.002695274,0.000316774,18,1.13430358794412e-07,0.002687689,0.207114825,105.0232815,0,1.237781038,1.214973496,combination 1
102,1.79608034255882e-08,0.001936417,0.005479452,0.000547945,0.447544291,1.23131976563594e-05,0.00231634,0.00037825,19,1.04793571971169e-08,0.001002895,0.99999785,140.8473713,0,1.439629452,1.473087641,combination 1
9,2.42079190619372e-08,0.002001443,0.005479452,0.000547945,0.357374525,5.77652018427827e-05,0.002000867,0.000344715,20,3.15573628526879e-08,0.002255835,0.302666333,119.6489384,0,1.257738583,1.259316965,combination 1
22,1.54180002979767e-07,0.002256981,0.005479452,0.000547945,0.289589552,4.05010336160471e-05,0.001823053,0.000426759,21,1.52447821028738e-07,0.00196589,0.344366438,127.8630672,0,1.328889059,1.33029932,combination 1
33,1.66017071866719e-07,0.002139114,0.005479452,0.000547945,0.297737715,0.000140285,0.002158304,0.00036739,22,1.62645790983532e-07,0.001912844,0.342708184,107.5836097,0,1.302370575,1.30402545,combination 1
53,2.27235627273507e-07,0.002142278,0.005479452,0.000547945,0.289642193,1.61574742598803e-05,0.001783454,0.000486856,23,2.61367085233401e-07,0.002240041,0.271317412,118.3962919,0,1.332670097,1.351108578,combination 1
73,4.57573141286316e-08,0.002202304,0.005479452,0.000547945,0.340063323,2.15500515425323e-05,0.001707168,0.000439795,24,1.48624145317881e-08,0.001149342,0.768707365,117.7589514,0,1.352783455,1.345323962,combination 1
23,2.19752178593931e-08,0.001772157,0.005479452,0.000547945,0.47625916,3.86757839343455e-05,0.001557128,0.000528479,25,6.83952117853617e-08,0.002001419,0.38369799,120.9532451,0,1.391184428,1.37486401,combination 1
103,1.38349163766462e-07,0.001569836,0.005479452,0.000547945,0.482327555,3.40661489460928e-05,0.001360094,0.000591437,26,1.54149130864631e-07,0.001887332,0.374432409,123.5047897,0,1.399301045,1.368077117,combination 1
61,3.70261689945651e-08,0.001134926,0.005479452,0.000547945,0.797006257,9.29752201769778e-05,0.001327626,0.000568762,27,3.27722436573381e-08,0.000903869,0.999999782,123.5784373,0,1.415046179,1.384214914,combination 1
24,1.81096416569045e-07,0.002666775,0.005479452,0.000547945,0.259490974,3.77439977625263e-05,0.002247255,0.000405116,28,4.57337074074129e-07,0.005381302,0.049421963,126.2039536,0,1.454005259,1.34414429,combination 1
34,2.12225046711168e-07,0.002554261,0.005479452,0.000547945,0.229756352,0.000185779,0.001974392,0.000350205,29,2.92728931206425e-07,0.003018768,0.166600206,116.635804,0,1.312687227,1.297079565,combination 1
35,1.50755745163205e-07,0.003376151,0.005479452,0.000547945,0.216757615,1.77537228921273e-05,0.002303533,0.000387969,30,1.32702770501727e-07,0.003241865,0.235145244,139.5005888,0,1.577067482,1.58771543,combination 1
54,2.04864436041865e-07,0.002465774,0.005479452,0.000547945,0.232553476,6.94531023396789e-05,0.002116602,0.000387532,31,1.88363809004271e-07,0.002171825,0.280840287,108.0537252,0,1.277333718,1.285877246,combination 1
104,7.93075104961034e-08,0.003299412,0.005479452,0.000547945,0.231190307,9.05992104248654e-05,0.002551101,0.000323319,32,8.97956814719346e-08,0.004466367,0.139667059,132.1445161,0,1.555984011,1.548839903,combination 1
1,2.73960931517938e-08,0.001674101,0.005479452,0.000547945,0.530269359,9.51020602829832e-05,0.002250995,0.000315471,33,1.54673724144306e-08,0.000959779,0.999999028,140.1267728,0,1.442392172,1.422948788,combination 1
36,4.40659448251028e-08,0.002610783,0.005479452,0.000547945,0.271913309,9.99043335860107e-05,0.001622435,0.000444252,34,4.61435975049106e-08,0.001929178,0.406833773,134.8016037,0,1.357978474,1.363583606,combination 1
62,2.82426336133259e-08,0.003622256,0.005479452,0.000547945,0.203443878,3.66400836333411e-05,0.002230347,0.00038717,35,7.10511908637393e-08,0.00432787,0.13772971,140.2658143,0,1.532849032,1.480885046,combination 1
11,1.25955038721631e-07,0.001904175,0.005479452,0.000547945,0.371103408,3.59913892880027e-05,0.001382512,0.000579855,36,4.26395359076126e-08,0.000846203,1,129.4059629,0,1.33974491,1.324906976,combination 1
55,1.26945449492947e-07,0.002387284,0.005479452,0.000547945,0.330813994,3.01652323573739e-05,0.001623839,0.000530729,37,1.35720407259535e-07,0.001793485,0.454108084,146.3912395,0,1.511942466,1.496133327,combination 1
12,1.51419552915706e-07,0.002924499,0.005479452,0.000547945,0.215457949,3.8032839651367e-05,0.002543349,0.000340692,38,1.0696053375909e-07,0.002310404,0.310404321,132.5173919,0,1.375789755,1.38237327,combination 1
82,5.82891705504769e-08,0.001124318,0.005479452,0.000547945,0.756214571,0.000140219,0.00198661,0.000333745,39,4.84202603894359e-08,0.000867313,0.999999967,126.8273362,0,1.380453373,1.369399453,combination 1
37,1.53694838828316e-07,0.002338059,0.005479452,0.000547945,0.315072852,0.000120098,0.002282862,0.00034858,40,1.08968576606728e-07,0.001614855,0.52571295,138.8998739,0,1.456573748,1.496617273,combination 1
105,5.57101849358275e-08,0.002458722,0.005479452,0.000547945,0.310290824,0.000129026,0.002027585,0.00040219,41,2.93228668918366e-08,0.000956527,0.999999669,138.4507594,0,1.416995495,1.451860645,combination 1
74,2.2133837020829e-07,0.00266481,0.005479452,0.000547945,0.211916216,9.34743707698681e-05,0.002300712,0.000351944,42,2.93447905528327e-07,0.003347069,0.138933435,118.2143081,0,1.299637335,1.282191561,combination 1
56,1.18423270716211e-07,0.002362047,0.005479452,0.000547945,0.292804443,2.10357024358131e-05,0.002259346,0.000330695,43,1.00905718095618e-07,0.002319694,0.310856142,125.612792,0,1.363595852,1.383383441,combination 1
