,A_true,beta_true,gamma_true,omega_true,rho_true,A_start,beta_start,rho_start,index,A_hat,beta_hat,rho_hat,nloglik,code,mean_R0_true,mean_R0_hat,set
2,4.57096864103502e-08,0.001361853,0.001369863,0.000182648,0.51592386,3.2986152526285e-05,0.001478121,0.00046589,1,5.10731716383447e-08,0.000981951,0.874631098,147.037302,0,1.379080087,1.407143253,combination 4
1,9.43015584730789e-08,0.002188818,0.001369863,0.000182648,0.223553304,3.58177221599312e-05,0.001701763,0.000352009,2,8.81214608858438e-08,0.002020466,0.301503132,140.8433612,0,1.562082154,1.61248594,combination 4
6,1.21555705597955e-07,0.001285921,0.001369863,0.000182648,0.473619865,8.57590205260065e-05,0.001488874,0.000417816,3,1.29421768025378e-07,0.001205269,0.519193605,128.4758353,0,1.363938517,1.367053467,combination 4
10,3.42901401704306e-08,0.00125756,0.001369863,0.000182648,0.509027662,4.24148601579391e-06,0.001615208,0.000549446,4,1.87534026830321e-08,0.000930073,0.877851196,118.6758156,0,1.251756077,1.270432258,combination 4
5,1.31696870118481e-07,0.001308255,0.001369863,0.000182648,0.410637516,9.5053875896838e-05,0.00133508,0.000461795,5,1.0626275200763e-07,0.001126512,0.572988172,121.3595913,0,1.303168071,1.324645298,combination 4
3,1.49964961122719e-07,0.001690812,0.001369863,0.000182648,0.280006396,5.79104934040202e-05,0.001436847,0.00044277,6,1.36600959531095e-07,0.001706399,0.272003853,141.0336019,0,1.400990908,1.380821393,combination 4
9,7.61249150527395e-08,0.001366715,0.001369863,0.000182648,0.397766925,4.70834935186675e-05,0.001677438,0.000310485,7,7.90912077412673e-08,0.001483432,0.336207173,125.2876628,0,1.255222725,1.257768586,combination 4
51,1.72119016703896e-07,0.001617345,0.001369863,0.000182648,0.250642019,2.86160965402389e-05,0.001186847,0.000571961,8,2.10465606116503e-07,0.001653805,0.215347286,123.391922,0,1.318031868,1.315859356,combination 4
31,5.9416684393783e-08,0.002065258,0.001369863,0.000182648,0.298978322,4.81830836674808e-05,0.001974645,0.000311356,9,7.47783867944351e-08,0.001860976,0.368668973,149.4220659,0,1.605151903,1.6110554,combination 4
101,9.79393404635994e-08,0.001636191,0.001369863,0.000182648,0.36834468,6.77008738765072e-05,0.001767036,0.000369984,10,7.20463239290956e-08,0.001515865,0.455586635,142.3422328,0,1.459072423,1.469815104,combination 4
