"","A_start","beta_start","rho_start","A_hat","beta_hat","rho_hat","nloglik","code"
"1",7.08005707612306e-05,0.00224618504473474,0.000318604724295437,1.01363900477752e-07,0.00476023392988908,0.0574270538403147,143.169790052737,0
"2",1.10684645138393e-05,0.00146225234279409,0.00053983544879593,1.24140587630225e-09,0.00359230884732048,0.128820751901285,149.771641761296,0
"3",3.54636912777765e-05,0.00238113301235717,0.000322827777452767,1.01139715721985e-07,0.00475937514798949,0.0574642122913307,143.169714974701,0
"4",0.000155199462490111,0.0024451342638582,0.000306409483356401,1.01078781542952e-07,0.00475959576458317,0.0574593710580593,143.169713811296,0
"5",3.07584167731538e-05,0.00207151202741079,0.000326790630212054,1.01141951789505e-07,0.00475976339038542,0.05745152691589,143.169719638163,0
"6",3.22505007182425e-05,0.0019655349228764,0.000462471344112419,1.01257422579405e-07,0.00475846213744551,0.0574888241090872,143.169784314757,0
"7",0.000171976222779626,0.00205502531852107,0.000349558509537019,1.02077356651989e-07,0.00477426779713655,0.0568071273845339,143.173072763113,0
"8",7.3748267817219e-05,0.00223556513397489,0.000351932013966143,1.02118080041708e-07,0.00477546878158409,0.0567556023043669,143.173069220274,0
"9",0.000151390528051031,0.00155165277854539,0.000455667705810629,3.22994470890157e-16,0.00269645250172504,0.219543915317134,151.894229721094,0
"10",1.51759624360573e-06,0.00189812280845363,0.000447306329780258,1.0100689677646e-07,0.00476001384842189,0.0574488683374213,143.169742962165,0
