"","A_start","beta_start","rho_start","A_hat","beta_hat","rho_hat","nloglik","code"
"1",4.04328807559308e-05,0.00172406466766261,0.000300051188282669,1.51278229398059e-08,0.0019279961002389,0.140089717775052,162.99922257614,10
"2",7.60828965228162e-05,0.00137238545885775,0.000538342371582985,1.08780549356481e-08,0.00183156243342765,0.175715908503277,163.850976769637,0
"3",0.000111807565533644,0.00133994315150194,0.000490286873700097,2.01429756968833e-08,0.00200021350013646,0.114830299838974,162.832442989685,0
"4",7.60321352106763e-05,0.0014946807018714,0.000374576907861046,2.01492802330148e-08,0.00200042861864942,0.114756738596177,162.83243996744,0
"5",1.63650341874332e-05,0.00216746949115768,0.000315303649473935,2.01665426482391e-08,0.00200084818827214,0.114613493262904,162.832453155526,0
"6",7.30212162952648e-05,0.00117974492083304,0.000552934309956618,6.91366929755082e-09,0.00189818790610261,0.153710135931543,163.693045197568,0
"7",0.00012867179246227,0.00155960686479229,0.000325938583002426,8.09946404235177e-09,0.00179385170161252,0.191516167482167,164.167653911806,0
"8",7.75197434039964e-06,0.00158109885398298,0.000303653850406408,2.01293215644009e-08,0.00200012185088563,0.114863583040713,162.832442035885,0
"9",6.50107313852303e-05,0.00141335458410904,0.000565616018674336,2.01605882865242e-08,0.00200076364281253,0.114643787397949,162.832451630499,0
"10",6.3385784827869e-05,0.00176734890025109,0.000313711511367001,2.01275872929801e-08,0.00200034736802445,0.114789756278913,162.832444196633,0
