"","A_start","beta_start","rho_start","A_hat","beta_hat","rho_hat","nloglik","code"
"1",5.2934987311206e-05,0.00192779122921638,0.000419412630214356,2.13763269103013e-08,0.00544815021625247,0.0324309945377076,164.134920179927,0
"2",6.3812342165415e-05,0.00215841525013093,0.000322578917769715,1.7998297661664e-14,0.00238199701061035,0.263944728755405,225.504837584051,0
"3",1.60575551116551e-05,0.00143469315250404,0.000553783025639132,9.26131167779542e-08,0.00586220510842672,0.0179424885807064,163.525731422205,0
"4",0.000130161306687998,0.00173788251276128,0.000443853556201793,2.85003779703844e-15,0.00173844394442766,0.417862446067743,244.413500466325,0
"5",5.17592726564112e-05,0.00148235909885261,0.000582551019033417,2.19064895835511e-15,0.0016034330158594,0.465723145291774,248.455209821127,0
"6",4.87651048523618e-06,0.00187508795780595,0.000394454609323293,1.93481771917533e-08,0.00280824157308719,0.199855855205554,225.038177795174,10
"7",4.4345626202749e-05,0.00208538637524471,0.000419978116010316,3.03960072747642e-15,0.0018506626059896,0.383335779310412,241.03980962399,0
"8",8.13421697705496e-06,0.0016335916165961,0.000450556100090034,5.45719619766862e-16,0.00154088569640087,0.490464833937939,250.320795084774,0
"9",0.000164049477015879,0.00195225487027783,0.000331967950612307,1.20489232252561e-15,0.00188581791911539,0.373518461705557,239.996937521844,0
"10",0.000109882607081993,0.00244469596208073,0.000321499503124505,7.32084623910301e-15,0.00244751456873483,0.253647290283711,223.386962001092,0
