"","A_start","beta_start","rho_start","A_hat","beta_hat","rho_hat","nloglik","code"
"1",1.44905695709311e-05,0.00205383215886541,0.000305864159320481,4.11155832216482e-09,0.00219446028720917,0.057749062446421,193.543906856882,0
"2",0.000148528233210704,0.00147112127684522,0.000373607527837157,3.94781423656433e-11,0.00192773708542283,0.139696915642821,205.31918621106,10
"3",8.41036339374703e-07,0.00160035880715586,0.000327562341629528,7.4048225958905e-08,0.00236611040120177,0.00245824576726465,227.171784969286,10
"4",0.000101159933223819,0.00151214911469724,0.000436509613785893,2.25597206735795e-13,0.00182583139047124,0.177992043718635,212.171715241162,0
"5",3.28635949684817e-06,0.0014629370189039,0.000557169734872878,1.31342803919131e-08,0.00229812807874361,0.0291764670534138,192.547183360443,0
"6",1.63692960798818e-05,0.00170335482025985,0.000326472443179227,1.78693220646677e-11,0.00197935365556715,0.121811910328113,202.357879376044,10
"7",1.08733626389654e-05,0.00162582601122558,0.000317136768414639,1.31469078140285e-08,0.00229839885033776,0.0291078113359689,192.54724451742,0
"8",5.36809127303051e-05,0.00140218141749501,0.000570443941187114,3.4254501896019e-15,0.0014463021554112,0.3691160766864,243.845630986139,0
"9",8.33445966431417e-05,0.00150137129153591,0.000379253512364812,1.31384869049364e-08,0.00229802199411033,0.0292025090410106,192.547207392247,0
"10",8.99697669390633e-05,0.00158366757219192,0.000371278549614362,2.81037700123819e-08,0.00233736430707992,0.0168488292274612,195.074911514021,0
